TEI ID,TITLE,LEVEL,TYPE,PARENT NODE,,
c70020,L'Appel du sol,,,p,BOOK,
c70020,Biblio,s,,bibl,?,
c70040,Souvenirs de la vie mondaine,m,,bibl,BOOK,
c70050,Journal des Debats,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb39294634r/date,1
c70060,Swann,,re,p,?,
c70060,"Du côté de chez Swann (À la recherche du temps perdu), par Marcel Proust, (Grasset, 3 fr. 50)",a,,bibl,Place,
c70060,Nouvelle Revue Francaise,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb34356973m/date.r=la+nouvelle+revue.langFR,2
c70070,Souvenirs d'un temps disparu,m,,bibl,,
c70080,Du côté de chez Swann,,re,p,BOOK,
c70080,Bibliographie de la France,s,,bibl,http://gallica.bnf.fr/ark:/12148/cb34348270x/date.r=bibliographie+france+1814.langFR,
c70130,Opium. Journal d'une d√©sintoxication,m,,bibl,BOOK,
c70140,Swann,,re,p,Proust  BOOK? ,
c70150,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,3
c70160,Swann,,re,p,Proust  BOOK? ,
c70160,Du côté de chez Swann,,re,p,BOOK,
c70160,Du côté de chez Swann,,re,p,BOOK,
c70160,A Backward Glance,m,,bibl,BOOK,
c70170,Swann,,,p,,
c70170,Swann,,re,p,,
c70170,Vie et l'Amour,,,p,,
c70170,The Letters of Henry James,m,,bibl,,
c70180,Du côté de chez Swann,,re,p,,
c70180,Swann,,re,p,,
c70180,Souvenirs sur Marcel Proust,a,,bibl,,
c70180,Bulletin Marcel Proust,j,,bibl,https://catalog.hathitrust.org/Record/000524999,4
c70190,Swann,,re,p,,
c70200,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,
c70210,Mercure de France,,,p,,
c70210,Du côté de chez Swann,a,,bibl,,
c70210,Du côté de chez Swann,m,,title,,
c70210,Mercure de France,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb34427363f/date,5
c70220,Les Croix du 1er janvier: Instruction Publique,,,p,,
c70220,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,
c70230,Legion d'Honneur: Instruction Publique,,,p,,
c70230,Le Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,6
c70240,Journal de l'Universit√© des Annales,j,,bibl,https://archive.org/details/lesannalesconfe00parigoog,7
c70240,Qu'apprend-on au Conservatoire?,a,,bibl,,
c70240,Le Gaulois,j,,bibl,http://gallica.bnf.fr/ark:/12148/cb32779904b/date.langFR,
c70240,Figaro,j,,bibl,http://gallica.bnf.fr/services/engine/search/sru?operation=searchRetrieve&version=1.2&startRecord=0&maximumRecords=15&page=1&exactSearch=false&query=%28%28%28dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20%3A%20th%C3%A9%C3%A2tre%2C%20critique%2C%20sciences%2C%20arts%2C%20moeurs%2C%20nouvelles%2C%20scandale%2C%20%C3%A9conomie%20domestique%2C%20biographie%2C%20bibliographie%2C%20modes%22%20or%20dc.title%20adj%20%22Figaro%20%3A%20%C3%A9lecteur%2C%20jur%C3%A9%2C%20contribuable%2C%20artiste%2C%20financier%2C%20auteur%2C%20industriel%2C%20homme%20du%20monde%20et%20journaliste%22%20%29%20or%20dc.title%20adj%20%22Figaro%20%3A%20journal%20non%20politique%22%20%29%20or%20dc.title%20adj%20%22Le%20Figaro%20%3A%20journal%20litt%C3%A9raire%20et%20d%27arts%22%20%29%20%20and%20%28dc.type%20all%20%22fascicule%22%29%20sortby%20dc.date%2Fsort.ascending,
c70250,L'Illustration,j,,bibl,https://catalog.hathitrust.org/Record/000051033,8
c70250,L'Illustration,j,,bibl,https://catalog.hathitrust.org/Record/000051033,
